CellId,CellLabel,XPosPixel,YPosPixel,ZPosPixel,XPosMicron,YPosMicron,ZPosMicron,CellAreaMicron2,jagged1b,lfng,dla,ccnd1,notch1a,hey1,pcna,her4,id1,notch3,ascl1a,Feat_regions,Cyto12_MeanIntensity,Cyto12_StdIntensity,Cyto12_MedianIntensity,Cyto12_MeanNormalisedIntensity,Cyto12_StdNormalisedIntensity,Cyto12_MedianNormalisedIntensity,Cyto12_SumIntensity,Cyto12_SumNormalizedIntensity,Cyto13_MeanIntensity,Cyto13_StdIntensity,Cyto13_MedianIntensity,Cyto13_MeanNormalisedIntensity,Cyto13_StdNormalisedIntensity,Cyto13_MedianNormalisedIntensity,Cyto13_SumIntensity,Cyto13_SumNormalizedIntensity,CellAreaInMicron2,Gs,Mcm2
197,197,1514.20313,1783.322637,25,313.4400479,369.1477858,10,271.062774,21,7,6,20,3,17,8,39,22,15,3,1,3200.009643,1928.761361,2900,inf,inf,inf,80973044,nan,368.4121483,491.599667,250,59421.31424,79290.26887,40322.58065,9322301,1503596935,271.062774,high,neg
198,198,1367.909672,1563.708564,24,283.1573021,323.6876728,9.6,100.566603,8,5,3,13,7,23,2,34,16,28,1,1,4509.095228,1695.95723,4383,inf,inf,inf,42331386,inf,693.0756285,709.3865711,541,111786.3917,114417.1889,87258.06452,6506594,1049450645,100.566603,high,neg
199,199,1325.878398,1542.217454,24,274.4568283,319.2390129,9.6,29.951451,7,2,5,9,3,5,36,7,5,6,1,1,978.2124464,847.3532502,730.5,inf,inf,inf,2735082,nan,4940.277182,3252.727045,4597.5,796818.9003,524633.3944,741532.2581,13813015,2227905645,29.951451,low,pos
200,200,1323.945963,1573.450731,24,274.0568144,325.7043013,9.6,67.401477,7,0,2,3,5,6,1,12,5,10,3,1,1589.045772,1284.868622,1160.5,inf,inf,inf,9998276,nan,298.9777495,294.8899158,221,48222.21767,47562.88965,35645.16129,1881168,303414193.5,67.401477,low,neg
201,201,1353.916174,1631.642823,25,280.2606481,337.7500643,10,268.363287,15,23,3,24,14,28,18,56,32,32,8,1,4470.984832,2479.837235,4207,inf,inf,inf,112007112,nan,528.6750359,607.8445973,390,85270.16708,98039.45117,62903.22581,13244367,2136188226,268.363287,high,neg
202,202,1297..336538,1640.221154,25,268.5486635,339.5257788,10,57.931848,4,7,17,8,6,4,3,11,9,8,10,1,1550.60318,1188.073546,1268,inf,inf,inf,8385662,nan,1719.205251,2163.067315,952,277291.1696,348881.8251,153548.3871,9297462,1499590645,57.931848,low,neg
203,203,1267.336391,1630,25,262.338633,337.41,10,14.011623,1,15,2,5,2,1,37,1,0,2,3,1,1092.367737,1164.763323,759,inf,inf,inf,1428817,nan,5681.597859,4217.625321,4620.5,916386.7515,680262.1485,745241.9355,7431530,1198633871,14.011623,neg,pos
204,204,1263.907602,1649.982456,25,261.6288737,341.5463684,10,36.635895,1,1,3,3,1,1,0,2,6,12,4,1,830.378655,698.574851,649,inf,inf,inf,2839895,nan,2321.160819,2051.663948,1855.5,374380.7772,330913.54,299274.1935,7938370,1280382258,36.635895,neg,pos
205,205,1298.388374,1683.438837,25,268.7663935,348.4718393,10,134.160219,7,5,15,27,7,7,1,11,8,6,6,1,1095.750798,1085.544527,736,inf,inf,inf,13723183,nan,469.9638294,764.846398,246,75800.61765,123362.3223,39677.41935,5885827,949326935.5,134.160219,low,neg
206,206,1422.885428,1641.966073,25,294.5372836,339.8869772,10,154.085004,7,6,3,20,9,15,7,17,7,24,9,1,3669.960095,2028.525972,3550.5,inf,inf,inf,52788706,nan,380.0370551,402.416421,265,61296.2992,64905.87436,42741.93548,5466453,881685967.7,154.085004,high,neg
207,207,1454.932671,1684.291115,25,301.1710629,348.6482608,10,155.284776,6,2,10,20,6,12,7,15,10,20,3,1,2769.036286,2056.383996,2286,inf,inf,inf,40139950,nan,461.4477097,737.173391,252,74427.04995,118898.934,40645.16129,6689146,1078894516,155.284776,high,neg
208,208,1377.909574,1727.29812,25,285.2272819,357.5507108,10,346.391316,15,15,13,63,22,38,12,29,30,25,11,1,2968.880536,2180.137632,2426.5,inf,inf,inf,96001721,nan,369.8918852,519.2937585,241,59659.98148,83757.05782,38870.96774,11960824,1929165161,346.391316,high,neg
209,209,1306.870923,1746.37572,25,270.522281,361.4997739,10,245.653317,5,7,13,14,10,17,9,18,21,18,8,1,2378.548666,1699.637756,1991,inf,inf,inf,54544878,nan,336.7008547,1208.967796,186,54306.58947,194994.8059,30000,7721224,1245358710,245.653317,high,neg
210,210,1422.329682,1813.120325,25,294.4222442,375.3159074,10,273.847959,17,6,12,28,10,18,6,38,5,21,5,1,1602.920904,1178.619692,1284,inf,inf,inf,40977070,nan,335.0815991,593.7663252,212,54045.41921,95768.76213,34193.54839,8566026,1381617097,273.847959,low,neg
211,211,1650.785099,1797.702733,25,341.7125155,372.1244657,10,114.449679,5,4,1,7,2,17,6,32,14,21,1,1,3304.004867,2110.895108,2842,inf,inf,inf,35299988,inf,342.2790154,354.638406,243,55206.2928,57199.74291,39193.54839,3656909,589824032.3,114.449679,high,neg
212,212,1584.682257,1801.367165,25,328.0292272,372.8830032,10,226.285569,9,9,6,6,8,19,6,45,15,17,4,1,4057.494414,2376.242531,3671.5,inf,inf,inf,85710512,nan,404.5932115,469.1905392,274,65256.9696,75675.89341,44193.54839,8546627,1378488226,226.285569,high,neg
213,213,1536.496546,1849.789054,25,318.0547851,382.9063342,10,161.283636,10,5,7,3,9,10,3,44,11,18,2,1,2608.262088,1680.633494,2288.5,inf,inf,inf,39269994,nan,325.9999336,382.1129135,226,52580.63445,61631.11507,36451.6129,4908255,791654032.3,161.283636,high,neg
214,214,1460.894071,1896.258609,25,302.4050728,392.5255321,10,393.182424,23,17,17,28,20,25,15,43,19,39,21,1,3858.154752,2426.477149,3432,inf,inf,inf,141609712,nan,519.1592469,1023.666608,244,83735.36241,165107.5174,39354.83871,19055221,3073422742,393.182424,high,neg
